Tutor Name, Course Name, Timeslot
Tutor 234,Credit Scoring,16
Tutor 234,Linear Programming Modelling and Solution Computer Lab,60
Tutor 234,Linear Programming Modelling and Solution Computer Lab,61
Tutor 234,Linear Programming Modelling and Solution Computer Lab,62
Tutor 234,Linear Programming Modelling and Solution Computer Lab,63
Tutor 234,Numerical Probability and Monte Carlo ,32
Tutor 234,Numerical Probability and Monte Carlo ,33
Tutor 234,Numerical Probability and Monte Carlo ,34
Tutor 234,Numerical Probability and Monte Carlo ,35
Tutor 234,Simulation,58
Tutor 234,Simulation,59
Tutor 156,Computing and Numerics,77
Tutor 156,Computing and Numerics,78
Tutor 156,Computing and Numerics,79
Tutor 156,Computing and Numerics,80
Tutor 156,Computing and Numerics,85
Tutor 156,Computing and Numerics,86
Tutor 156,Computing and Numerics,87
Tutor 156,Computing and Numerics,88
Tutor 156,Linear Programming Modelling and Solution Computer Lab,60
Tutor 156,Linear Programming Modelling and Solution Computer Lab,61
Tutor 156,Linear Programming Modelling and Solution Computer Lab,62
Tutor 156,Linear Programming Modelling and Solution Computer Lab,63
Tutor 156,Proofs & Problem Solving,11
Tutor 156,Proofs & Problem Solving,12
Tutor 156,Proofs & Problem Solving,13
Tutor 156,Proofs & Problem Solving,14
Tutor 156,Proofs & Problem Solving,15
Tutor 156,Proofs & Problem Solving,16
Tutor 231,Applied Dynamical Systems,22
Tutor 231,Applied Dynamical Systems,23
Tutor 231,Incomplete Data Analysis,74
Tutor 231,Incomplete Data Analysis,75
Tutor 231,Linear Programming Modelling and Solution Computer Lab,60
Tutor 231,Linear Programming Modelling and Solution Computer Lab,61
Tutor 231,Linear Programming Modelling and Solution Computer Lab,62
Tutor 231,Linear Programming Modelling and Solution Computer Lab,63
Tutor 231,Machine Learning in Python,39
Tutor 231,Machine Learning in Python,40
Tutor 231,Machine Learning in Python,41
Tutor 231,Machine Learning in Python,42
Tutor 231,Topics in Mathematical Physics B,68
Tutor 231,Topics in Mathematical Physics B,69
Tutor 129,Bayesian Data Analysis,89
Tutor 129,Bayesian Data Analysis,90
Tutor 129,Bayesian Data Analysis,91
Tutor 129,Bayesian Data Analysis,92
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,43
Tutor 129,Engineering Mathematics/Mathematics for the Natural Sciences 1b,44
Tutor 129,Linear Programming Modelling and Solution Computer Lab,60
Tutor 129,Linear Programming Modelling and Solution Computer Lab,61
Tutor 129,Linear Programming Modelling and Solution Computer Lab,62
Tutor 129,Linear Programming Modelling and Solution Computer Lab,63
Tutor 129,Proofs & Problem Solving,1
Tutor 129,Proofs & Problem Solving,2
Tutor 129,Proofs & Problem Solving,3
Tutor 129,Bayesian Data Analysis,85
Tutor 129,Bayesian Data Analysis,86
Tutor 129,Bayesian Data Analysis,87
Tutor 129,Bayesian Data Analysis,88
Tutor 129,Bayesian Data Analysis,89
Tutor 129,Bayesian Data Analysis,90
Tutor 129,Bayesian Data Analysis,91
Tutor 129,Bayesian Data Analysis,92
Tutor 129,Calculus & its Applications ,20
Tutor 129,Calculus & its Applications ,21
Tutor 129,Calculus & its Applications ,22
Tutor 129,Calculus & its Applications ,23
Tutor 129,Calculus & its Applications ,24
Tutor 129,Calculus & its Applications ,25
Tutor 129,Computing and Numerics,77
Tutor 129,Computing and Numerics,78
Tutor 129,Computing and Numerics,79
Tutor 129,Computing and Numerics,80
Tutor 259,Bayesian Data Analysis,85
Tutor 259,Bayesian Data Analysis,86
Tutor 259,Bayesian Data Analysis,87
Tutor 259,Bayesian Data Analysis,88
Tutor 259,Bayesian Data Analysis,89
Tutor 259,Bayesian Data Analysis,90
Tutor 259,Bayesian Data Analysis,91
Tutor 259,Bayesian Data Analysis,92
Tutor 259,Computing and Numerics,77
Tutor 259,Computing and Numerics,78
Tutor 259,Computing and Numerics,79
Tutor 259,Computing and Numerics,80
Tutor 259,Incomplete Data Analysis,74
Tutor 259,Incomplete Data Analysis,75
Tutor 383,Bayesian Data Analysis,85
Tutor 383,Bayesian Data Analysis,86
Tutor 383,Bayesian Data Analysis,87
Tutor 383,Bayesian Data Analysis,88
Tutor 383,Bayesian Data Analysis,89
Tutor 383,Bayesian Data Analysis,90
Tutor 383,Bayesian Data Analysis,91
Tutor 383,Bayesian Data Analysis,92
Tutor 383,Proofs & Problem Solving,1
Tutor 383,Proofs & Problem Solving,2
Tutor 383,Proofs & Problem Solving,3
Tutor 383,Proofs & Problem Solving,11
Tutor 383,Proofs & Problem Solving,12
Tutor 383,Proofs & Problem Solving,13
Tutor 383,Proofs & Problem Solving,14
Tutor 383,Proofs & Problem Solving,15
Tutor 383,Proofs & Problem Solving,16
Tutor 379,Calculus & its Applications ,20
Tutor 379,Calculus & its Applications ,21
Tutor 379,Calculus & its Applications ,22
Tutor 379,Calculus & its Applications ,23
Tutor 379,Calculus & its Applications ,24
Tutor 379,Calculus & its Applications ,25
Tutor 379,Calculus & its Applications ,26
Tutor 379,Calculus & its Applications ,27
Tutor 379,Calculus & its Applications ,28
Tutor 379,Calculus & its Applications ,32
Tutor 379,Calculus & its Applications ,33
Tutor 379,Calculus & its Applications ,34
Tutor 379,Proofs & Problem Solving,1
Tutor 379,Proofs & Problem Solving,2
Tutor 379,Proofs & Problem Solving,3
Tutor 288,Algebraic Topology,41
Tutor 288,Algebraic Topology,42
Tutor 288,Computing and Numerics,77
Tutor 288,Computing and Numerics,78
Tutor 288,Computing and Numerics,79
Tutor 288,Computing and Numerics,80
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,43
Tutor 288,Engineering Mathematics/Mathematics for the Natural Sciences 1b,44
Tutor 288,Proofs & Problem Solving,1
Tutor 288,Proofs & Problem Solving,2
Tutor 288,Proofs & Problem Solving,3
Tutor 288,Proofs & Problem Solving,4
Tutor 288,Proofs & Problem Solving,5
Tutor 288,Proofs & Problem Solving,6
Tutor 131,Integer and Combinatorial Optimization,47
Tutor 131,Integer and Combinatorial Optimization,48
Tutor 131,Linear Programming Modelling and Solution Computer Lab,60
Tutor 131,Linear Programming Modelling and Solution Computer Lab,61
Tutor 131,Linear Programming Modelling and Solution Computer Lab,62
Tutor 131,Linear Programming Modelling and Solution Computer Lab,63
Tutor 131,Mathematical Education,49
Tutor 131,Mathematical Education,50
Tutor 313,Calculus & its Applications ,20
Tutor 313,Calculus & its Applications ,21
Tutor 313,Calculus & its Applications ,22
Tutor 313,Calculus & its Applications ,23
Tutor 313,Calculus & its Applications ,24
Tutor 313,Calculus & its Applications ,25
Tutor 313,Calculus & its Applications ,29
Tutor 313,Calculus & its Applications ,30
Tutor 313,Calculus & its Applications ,31
Tutor 313,Classical Mechanics for Mathematicians,62
Tutor 313,Classical Mechanics for Mathematicians,63
Tutor 313,Fourier Analysis,41
Tutor 313,Fourier Analysis,42
Tutor 313,Numerical Partial Differential Equations,39
Tutor 313,Numerical Partial Differential Equations,40
Tutor 136,Calculus & its Applications ,20
Tutor 136,Calculus & its Applications ,21
Tutor 136,Calculus & its Applications ,22
Tutor 136,Calculus & its Applications ,23
Tutor 136,Calculus & its Applications ,24
Tutor 136,Calculus & its Applications ,25
Tutor 136,Calculus & its Applications ,26
Tutor 136,Calculus & its Applications ,27
Tutor 136,Calculus & its Applications ,28
Tutor 136,Calculus & its Applications ,29
Tutor 136,Calculus & its Applications ,30
Tutor 136,Calculus & its Applications ,31
Tutor 136,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 136,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 136,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 136,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 136,Engineering Mathematics/Mathematics for the Natural Sciences 1b,43
Tutor 136,Engineering Mathematics/Mathematics for the Natural Sciences 1b,44
Tutor 246,Calculus & its Applications ,26
Tutor 246,Calculus & its Applications ,27
Tutor 246,Calculus & its Applications ,28
Tutor 246,Calculus & its Applications ,29
Tutor 246,Calculus & its Applications ,30
Tutor 246,Calculus & its Applications ,31
Tutor 246,Calculus & its Applications ,32
Tutor 246,Calculus & its Applications ,33
Tutor 246,Calculus & its Applications ,34
Tutor 246,Credit Scoring,13
Tutor 246,Credit Scoring,14
Tutor 246,Credit Scoring,15
Tutor 246,Credit Scoring,16
Tutor 246,Integer and Combinatorial Optimization,47
Tutor 246,Integer and Combinatorial Optimization,48
Tutor 246,Interactions in Algebra Geometry and Topology,68
Tutor 246,Interactions in Algebra Geometry and Topology,69
Tutor 402,Computing and Numerics,77
Tutor 402,Computing and Numerics,78
Tutor 402,Computing and Numerics,79
Tutor 402,Computing and Numerics,80
Tutor 402,Geometry of General Relativity,83
Tutor 402,Geometry of General Relativity,84
Tutor 402,Honours Algbra- Skills,87
Tutor 402,Honours Algbra- Skills,88
Tutor 402,Honours Algbra- Skills,89
Tutor 402,Honours Algbra- Skills,90
Tutor 402,Statistics (Year 2) - Lab,72
Tutor 402,Statistics (Year 2) - Lab,73
Tutor 402,Statistics (Year 2) - Lab,81
Tutor 402,Statistics (Year 2) - Lab,82
Tutor 410,Calculus & its Applications ,26
Tutor 410,Calculus & its Applications ,27
Tutor 410,Calculus & its Applications ,28
Tutor 410,Calculus & its Applications ,29
Tutor 410,Calculus & its Applications ,30
Tutor 410,Calculus & its Applications ,31
Tutor 410,Calculus & its Applications ,32
Tutor 410,Calculus & its Applications ,33
Tutor 410,Calculus & its Applications ,34
Tutor 410,Computing and Numerics,85
Tutor 410,Computing and Numerics,86
Tutor 410,Computing and Numerics,87
Tutor 410,Computing and Numerics,88
Tutor 410,Engineering Mathematics/Mathematics for the Natural Sciences 1b,45
Tutor 410,Engineering Mathematics/Mathematics for the Natural Sciences 1b,46
Tutor 370,Applied Dynamical Systems,22
Tutor 370,Applied Dynamical Systems,23
Tutor 370,Calculus & its Applications ,32
Tutor 370,Calculus & its Applications ,33
Tutor 370,Calculus & its Applications ,34
Tutor 370,Computing and Numerics,77
Tutor 370,Computing and Numerics,78
Tutor 370,Computing and Numerics,79
Tutor 370,Computing and Numerics,80
Tutor 370,Linear Programming Modelling and Solution Computer Lab,60
Tutor 370,Linear Programming Modelling and Solution Computer Lab,61
Tutor 370,Linear Programming Modelling and Solution Computer Lab,62
Tutor 370,Linear Programming Modelling and Solution Computer Lab,63
Tutor 370,Time Series,47
Tutor 370,Time Series,48
Tutor 370,Time Series,49
Tutor 370,Time Series,50
Tutor 252,Calculus & its Applications ,26
Tutor 252,Calculus & its Applications ,27
Tutor 252,Calculus & its Applications ,28
Tutor 252,Computing and Numerics,85
Tutor 252,Computing and Numerics,86
Tutor 252,Computing and Numerics,87
Tutor 252,Computing and Numerics,88
Tutor 252,Credit Scoring,13
Tutor 252,Credit Scoring,14
Tutor 252,Credit Scoring,15
Tutor 252,Credit Scoring,16
Tutor 252,Engineering Mathematics/Mathematics for the Natural Sciences 1b,45
Tutor 252,Engineering Mathematics/Mathematics for the Natural Sciences 1b,46
Tutor 67,Financial Risk Theory,91
Tutor 67,Financial Risk Theory,92
Tutor 67,Financial Risk Theory,93
Tutor 67,Financial Risk Theory,94
Tutor 67,Honours Algbra- Skills,87
Tutor 67,Honours Algbra- Skills,88
Tutor 67,Honours Algbra- Skills,89
Tutor 67,Honours Algbra- Skills,90
Tutor 67,Honours Algebra,66
Tutor 67,Honours Algebra,67
Tutor 67,Honours Complex Variables - Skills,30
Tutor 67,Honours Complex Variables - Skills,31
Tutor 67,Honours Complex Variables - Skills,32
Tutor 67,Honours Complex Variables - Skills,33
Tutor 67,Honours Complex Variables - Skills,43
Tutor 67,Honours Complex Variables - Skills,44
Tutor 67,Honours Complex Variables - Skills,45
Tutor 67,Honours Complex Variables - Skills,46
Tutor 187,Calculus & its Applications ,23
Tutor 187,Calculus & its Applications ,24
Tutor 187,Calculus & its Applications ,25
Tutor 187,Calculus & its Applications ,26
Tutor 187,Calculus & its Applications ,27
Tutor 187,Calculus & its Applications ,28
Tutor 187,Calculus & its Applications ,29
Tutor 187,Calculus & its Applications ,30
Tutor 187,Calculus & its Applications ,31
Tutor 187,Calculus & its Applications ,32
Tutor 187,Calculus & its Applications ,33
Tutor 187,Calculus & its Applications ,34
Tutor 187,Computing and Numerics,77
Tutor 187,Computing and Numerics,78
Tutor 187,Computing and Numerics,79
Tutor 187,Computing and Numerics,80
Tutor 169,Calculus & its Applications ,20
Tutor 169,Calculus & its Applications ,21
Tutor 169,Calculus & its Applications ,22
Tutor 169,Calculus & its Applications ,23
Tutor 169,Calculus & its Applications ,24
Tutor 169,Calculus & its Applications ,25
Tutor 169,Calculus & its Applications ,26
Tutor 169,Calculus & its Applications ,27
Tutor 169,Calculus & its Applications ,28
Tutor 169,Calculus & its Applications ,29
Tutor 169,Calculus & its Applications ,30
Tutor 169,Calculus & its Applications ,31
Tutor 169,Functional Analysis,32
Tutor 169,Functional Analysis,33
Tutor 169,Statistics (Year 2),72
Tutor 169,Statistics (Year 2),73
Tutor 169,Statistics (Year 2),81
Tutor 169,Statistics (Year 2),82
Tutor 266,Calculus & its Applications ,23
Tutor 266,Calculus & its Applications ,24
Tutor 266,Calculus & its Applications ,25
Tutor 266,Calculus & its Applications ,26
Tutor 266,Calculus & its Applications ,27
Tutor 266,Calculus & its Applications ,28
Tutor 266,Calculus & its Applications ,29
Tutor 266,Calculus & its Applications ,30
Tutor 266,Calculus & its Applications ,31
Tutor 266,Calculus & its Applications ,32
Tutor 266,Calculus & its Applications ,33
Tutor 266,Calculus & its Applications ,34
Tutor 266,Fourier Analysis,41
Tutor 266,Fourier Analysis,42
Tutor 266,Fundamentals of Pure Mathematics,64
Tutor 266,Fundamentals of Pure Mathematics,65
Tutor 266,Statistics (Year 2),72
Tutor 266,Statistics (Year 2),73
Tutor 257,Calculus & its Applications ,29
Tutor 257,Calculus & its Applications ,30
Tutor 257,Calculus & its Applications ,31
Tutor 257,Calculus & its Applications ,32
Tutor 257,Calculus & its Applications ,33
Tutor 257,Calculus & its Applications ,34
Tutor 257,Computing and Numerics,85
Tutor 257,Computing and Numerics,86
Tutor 257,Computing and Numerics,87
Tutor 257,Computing and Numerics,88
Tutor 257,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 257,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 257,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 257,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 257,Fundamentals of Pure Mathematics,64
Tutor 257,Fundamentals of Pure Mathematics,65
Tutor 257,Large Scale Optimization for Data Science - Comp Lab,70
Tutor 257,Large Scale Optimization for Data Science - Comp Lab,71
Tutor 3,Honours Algbra- Skills,30
Tutor 3,Honours Algbra- Skills,31
Tutor 3,Honours Algbra- Skills,32
Tutor 3,Honours Algbra- Skills,33
Tutor 3,Mathematical Education,51
Tutor 3,Mathematical Education,52
Tutor 3,Numerical Ordinary Differential Equations and Applications,17
Tutor 3,Numerical Ordinary Differential Equations and Applications,18
Tutor 290,Computing and Numerics,77
Tutor 290,Computing and Numerics,78
Tutor 290,Computing and Numerics,79
Tutor 290,Computing and Numerics,80
Tutor 290,Computing and Numerics,85
Tutor 290,Computing and Numerics,86
Tutor 290,Computing and Numerics,87
Tutor 290,Computing and Numerics,88
Tutor 290,Fundamentals of Pure Mathematics,62
Tutor 290,Fundamentals of Pure Mathematics,63
Tutor 290,Fundamentals of Pure Mathematics,64
Tutor 290,Fundamentals of Pure Mathematics,65
Tutor 290,Statistics (Year 2),72
Tutor 290,Statistics (Year 2),73
Tutor 158,Computing and Numerics,85
Tutor 158,Computing and Numerics,86
Tutor 158,Computing and Numerics,87
Tutor 158,Computing and Numerics,88
Tutor 158,Credit Scoring,13
Tutor 158,Credit Scoring,14
Tutor 158,Credit Scoring,15
Tutor 158,Credit Scoring,16
Tutor 158,Honours Complex Variables,7
Tutor 158,Honours Complex Variables,8
Tutor 158,Honours Complex Variables,9
Tutor 158,Honours Complex Variables,10
Tutor 158,Statistics (Year 2),70
Tutor 158,Statistics (Year 2),71
Tutor 158,Statistics (Year 2),72
Tutor 158,Statistics (Year 2),73
Tutor 158,Statistics (Year 2),81
Tutor 158,Statistics (Year 2),82
Tutor 382,Calculus & its Applications ,32
Tutor 382,Calculus & its Applications ,33
Tutor 382,Calculus & its Applications ,34
Tutor 382,Computing and Numerics,85
Tutor 382,Computing and Numerics,86
Tutor 382,Computing and Numerics,87
Tutor 382,Computing and Numerics,88
Tutor 382,Honours Complex Variables - Skills,43
Tutor 382,Honours Complex Variables - Skills,44
Tutor 382,Honours Complex Variables - Skills,45
Tutor 382,Honours Complex Variables - Skills,46
Tutor 382,Research Skills for Computational Applied Mathematics,70
Tutor 382,Research Skills for Computational Applied Mathematics,71
Tutor 382,Statistics (Year 2) - Lab,72
Tutor 382,Statistics (Year 2) - Lab,73
Tutor 382,Statistics (Year 2) - Lab,81
Tutor 382,Statistics (Year 2) - Lab,82
Tutor 384,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 384,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 384,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 384,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 384,Honours Complex Variables - Skills,30
Tutor 384,Honours Complex Variables - Skills,31
Tutor 384,Honours Complex Variables - Skills,32
Tutor 384,Honours Complex Variables - Skills,33
Tutor 384,Honours Complex Variables - Skills,43
Tutor 384,Honours Complex Variables - Skills,44
Tutor 384,Honours Complex Variables - Skills,45
Tutor 384,Honours Complex Variables - Skills,46
Tutor 384,Integer and Combinatorial Optimization,47
Tutor 384,Integer and Combinatorial Optimization,48
Tutor 384,Proofs & Problem Solving,1
Tutor 384,Proofs & Problem Solving,2
Tutor 384,Proofs & Problem Solving,3
Tutor 396,Calculus & its Applications ,23
Tutor 396,Calculus & its Applications ,24
Tutor 396,Calculus & its Applications ,25
Tutor 396,Calculus & its Applications ,32
Tutor 396,Calculus & its Applications ,33
Tutor 396,Calculus & its Applications ,34
Tutor 396,Computing and Numerics,85
Tutor 396,Computing and Numerics,86
Tutor 396,Computing and Numerics,87
Tutor 396,Computing and Numerics,88
Tutor 396,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 396,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 396,Statistics (Year 2) - Lab,70
Tutor 396,Statistics (Year 2) - Lab,71
Tutor 396,Statistics (Year 2) - Lab,72
Tutor 396,Statistics (Year 2) - Lab,73
Tutor 396,Statistics (Year 2) - Lab,81
Tutor 396,Statistics (Year 2) - Lab,82
Tutor 403,Computing and Numerics,85
Tutor 403,Computing and Numerics,86
Tutor 403,Computing and Numerics,87
Tutor 403,Computing and Numerics,88
Tutor 403,Fundamentals of Pure Mathematics,62
Tutor 403,Fundamentals of Pure Mathematics,63
Tutor 403,Fundamentals of Pure Mathematics,64
Tutor 403,Fundamentals of Pure Mathematics,65
Tutor 403,Honours Complex Variables - Skills,43
Tutor 403,Honours Complex Variables - Skills,44
Tutor 403,Honours Complex Variables - Skills,45
Tutor 403,Honours Complex Variables - Skills,46
Tutor 403,Integer and Combinatorial Optimization,47
Tutor 403,Integer and Combinatorial Optimization,48
Tutor 403,Statistics (Year 2),70
Tutor 403,Statistics (Year 2),71
Tutor 403,Statistics (Year 2),81
Tutor 403,Statistics (Year 2),82
Tutor 411,Computing and Numerics,85
Tutor 411,Computing and Numerics,86
Tutor 411,Computing and Numerics,87
Tutor 411,Computing and Numerics,88
Tutor 411,Incomplete Data Analysis,74
Tutor 411,Incomplete Data Analysis,75
Tutor 411,Large Scale Optimization for Data Science,70
Tutor 411,Large Scale Optimization for Data Science,71
Tutor 279,Incomplete Data Analysis,74
Tutor 279,Incomplete Data Analysis,75
Tutor 279,Machine Learning in Python,32
Tutor 279,Machine Learning in Python,33
Tutor 279,Machine Learning in Python,34
Tutor 279,Machine Learning in Python,35
Tutor 279,Numerical Ordinary Differential Equations and Applications,15
Tutor 279,Numerical Ordinary Differential Equations and Applications,16
Tutor 279,Numerical Ordinary Differential Equations and Applications,17
Tutor 279,Numerical Ordinary Differential Equations and Applications,18
Tutor 279,Time Series,47
Tutor 279,Time Series,48
Tutor 279,Time Series,49
Tutor 279,Time Series,50
Tutor 371,Applied Statistics,87
Tutor 371,Applied Statistics,88
Tutor 371,Financial Mathematics,81
Tutor 371,Financial Mathematics,82
Tutor 371,Financial Mathematics,85
Tutor 371,Financial Mathematics,86
Tutor 371,Risk and Logistics,83
Tutor 371,Risk and Logistics,84
Tutor 397,Honours Algbra- Skills,30
Tutor 397,Honours Algbra- Skills,31
Tutor 397,Honours Algbra- Skills,32
Tutor 397,Honours Algbra- Skills,33
Tutor 397,Honours Algbra- Skills,87
Tutor 397,Honours Algbra- Skills,88
Tutor 397,Honours Algbra- Skills,89
Tutor 397,Honours Algbra- Skills,90
Tutor 397,Machine Learning in Python,39
Tutor 397,Machine Learning in Python,40
Tutor 397,Machine Learning in Python,41
Tutor 397,Machine Learning in Python,42
Tutor 397,Stochastic Control and Dynamic Asset Allocation,36
Tutor 397,Stochastic Control and Dynamic Asset Allocation,37
Tutor 59,Fundamentals of Pure Mathematics,62
Tutor 59,Fundamentals of Pure Mathematics,63
Tutor 59,Fundamentals of Pure Mathematics,64
Tutor 59,Fundamentals of Pure Mathematics,65
Tutor 59,Honours Algbra- Skills,30
Tutor 59,Honours Algbra- Skills,31
Tutor 59,Honours Algbra- Skills,32
Tutor 59,Honours Algbra- Skills,33
Tutor 59,Honours Algbra- Skills,87
Tutor 59,Honours Algbra- Skills,88
Tutor 59,Honours Algbra- Skills,89
Tutor 59,Honours Algbra- Skills,90
Tutor 59,Machine Learning in Python,39
Tutor 59,Machine Learning in Python,40
Tutor 59,Statistics (Year 2) - Lab,70
Tutor 59,Statistics (Year 2) - Lab,71
Tutor 59,Statistics (Year 2) - Lab,72
Tutor 59,Statistics (Year 2) - Lab,73
Tutor 63,Engineering Mathematics/Mathematics for the Natural Sciences 1b,39
Tutor 63,Engineering Mathematics/Mathematics for the Natural Sciences 1b,40
Tutor 63,Engineering Mathematics/Mathematics for the Natural Sciences 1b,41
Tutor 63,Engineering Mathematics/Mathematics for the Natural Sciences 1b,42
Tutor 63,Honours Algbra- Skills,30
Tutor 63,Honours Algbra- Skills,31
Tutor 63,Honours Algbra- Skills,32
Tutor 63,Honours Algbra- Skills,33
Tutor 63,Honours Complex Variables - Skills,43
Tutor 63,Honours Complex Variables - Skills,44
Tutor 63,Honours Complex Variables - Skills,45
Tutor 63,Honours Complex Variables - Skills,46
Tutor 63,Proofs & Problem Solving,1
Tutor 63,Proofs & Problem Solving,2
Tutor 63,Proofs & Problem Solving,3
Tutor 63,Proofs & Problem Solving,4
Tutor 63,Proofs & Problem Solving,5
Tutor 63,Proofs & Problem Solving,6
Tutor 179,Calculus & its Applications ,20
Tutor 179,Calculus & its Applications ,21
Tutor 179,Calculus & its Applications ,22
Tutor 179,Calculus & its Applications ,23
Tutor 179,Calculus & its Applications ,24
Tutor 179,Calculus & its Applications ,25
Tutor 179,Computing and Numerics,85
Tutor 179,Computing and Numerics,86
Tutor 179,Computing and Numerics,87
Tutor 179,Computing and Numerics,88
Tutor 179,Honours Complex Variables,7
Tutor 179,Honours Complex Variables,8
Tutor 179,Proofs & Problem Solving,1
Tutor 179,Proofs & Problem Solving,2
Tutor 179,Proofs & Problem Solving,3
Tutor 352,Honours Algbra- Skills,30
Tutor 352,Honours Algbra- Skills,31
Tutor 352,Honours Algbra- Skills,32
Tutor 352,Honours Algbra- Skills,33
Tutor 352,Honours Algbra- Skills,87
Tutor 352,Honours Algbra- Skills,88
Tutor 352,Honours Algbra- Skills,89
Tutor 352,Honours Algbra- Skills,90
Tutor 352,Honours Complex Variables,7
Tutor 352,Honours Complex Variables,8
Tutor 352,Honours Complex Variables,9
Tutor 352,Honours Complex Variables,10
Tutor 352,Machine Learning in Python,41
Tutor 352,Machine Learning in Python,42
Tutor 352,Statistics (Year 2) - Lab,70
